id,week,day,type,title,subject,landing_page,template,description
HOWTO-022,10,5,How-To,Workflow Automation,Automate your daily tasks - workflow builder guide,workflow-automation-guide,tutorial,Custom workflow automation creation
EDU-015,11,1,Educational,AI Employee Deep Dive,AI employees explained - what they really do for you,ai-employees-explained,ai-intro,Comprehensive AI employee capabilities overview
HOOK-015,11,2,Hook,Business of the Month,Nominate your business for Business of the Month,business-nomination,nomination,Business of the Month nomination and benefits
HOWTO-023,11,3,How-To,Report Generation,Generate professional reports automatically,report-generation-guide,tutorial,Automated business report creation
HOWTO-024,11,4,How-To,Customer Segmentation,Know your customers - segmentation made easy,customer-segmentation-guide,tutorial,Customer segmentation and targeting
HOWTO-025,11,5,How-To,Advanced AI Training,Train your AI to sound like you - advanced customization,ai-training-guide,tutorial,Advanced AI personalization
HOWTO-026,12,1,How-To,Integration Marketplace,Connect your favorite tools - integration marketplace,integration-marketplace,tutorial,Third-party integration options
HOWTO-027,12,2,How-To,Team Collaboration,Add team members - collaborate efficiently,team-collaboration-guide,tutorial,Team member management and permissions
HOWTO-028,12,3,How-To,Content Calendar,Plan your content - calendar management guide,content-calendar-guide,tutorial,Content planning and scheduling
HOWTO-029,12,4,How-To,ROI Tracking,Track your ROI - see what's working,roi-tracking-guide,tutorial,ROI measurement and optimization
HOWTO-030,12,5,How-To,Success Playbook,Your 90-day success playbook - what's next,success-playbook,tutorial,Complete success roadmap and next steps
